,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
1260,61.66046,61.3,18.516024,19.14,2.4608486,2.74,10.444397,10.71,12.435623,12.6,301.29785,301.5,5.276345,5.1,249.0772,248.7
1716,51.20708,51.0,25.506424,26.72,1.6176897,1.72,11.369538,10.19,11.841169,12.67,334.1471,339.6,3.1475737,3.16,303.11575,311.1
1486,45.244724,45.6,26.282276,26.4,1.1616644,1.57,8.76645,9.39,10.05464,11.32,333.65723,332.5,3.770492,3.45,287.5735,286.7
1459,65.16781,63.1,18.013805,19.73,2.6881151,2.74,11.278795,10.99,12.968928,13.23,308.42538,309.3,5.0897217,4.31,265.84033,268.1
873,60.704315,60.6,18.618185,17.28,2.590876,2.98,10.430152,10.39,12.710862,11.73,289.10025,289.9,5.7948036,5.66,220.73561,219.8
944,37.48569,38.7,29.963484,29.58,0.84023196,1.24,8.975621,9.2,10.571433,10.6,316.1703,315.0,4.0267196,3.97,235.97572,235.1
1042,71.58478,71.5,14.964553,13.33,3.4394517,3.83,11.697465,11.08,13.880112,12.59,288.5612,289.5,6.3590717,5.84,227.91406,226.5
1736,38.39645,38.8,33.29672,33.87,0.4946631,1.01,10.460132,9.2,10.629568,11.58,368.39627,375.8,2.089635,2.26,334.56277,341.7
1713,51.368874,51.0,25.369553,26.72,1.6243231,1.72,11.333401,10.19,11.823641,12.67,334.10126,339.6,3.1559615,3.17,303.5948,310.9
2072,30.43486,31.9,33.02558,32.0,0.9855659,0.85,4.8270736,7.0,9.526853,8.87,413.47058,411.6,3.039411,2.19,391.21063,390.8
901,47.205067,48.3,24.39116,23.15,1.7012888,1.95,9.134942,9.62,10.967038,11.11,300.26874,297.6,4.8806276,4.83,224.78432,220.5
1274,64.3471,65.5,17.863647,18.91,2.7060578,3.0,11.446353,11.3,13.256322,13.39,295.6926,298.2,5.284665,5.0,243.3465,246.4
1904,49.665115,49.9,25.897663,26.9,1.7135048,1.65,10.606083,10.04,11.88946,12.38,349.4551,352.5,3.0144587,3.03,327.71286,330.7
886,63.071316,64.8,17.631107,16.62,2.974529,3.29,10.838644,11.22,13.143609,12.43,284.0142,285.9,6.014039,5.99,213.74352,211.3
898,44.779106,45.8,25.113262,23.52,1.3475573,1.8,8.623561,9.14,10.633313,10.61,303.54294,301.7,4.7507167,4.45,228.99205,226.8
1749,41.1945,39.0,33.259068,34.67,0.6958816,1.01,11.249646,9.23,11.361471,11.66,370.75247,375.2,2.2095175,2.32,335.5103,341.1
959,42.95901,41.9,27.976553,29.3,1.324739,1.41,10.054994,10.15,11.571294,11.24,308.14624,308.4,4.269978,4.46,228.81729,230.2
1553,40.912567,40.7,31.861568,33.25,0.78001356,1.12,10.971363,9.81,11.486931,12.01,350.16083,351.6,2.699625,2.71,302.21753,302.7
1706,51.479298,51.3,24.863506,26.67,1.6428667,1.74,11.177383,10.28,11.722246,12.77,331.39246,339.1,3.1920698,3.12,301.54465,310.6
1807,70.41759,69.4,15.043281,16.0,3.2457106,3.33,10.5119705,10.3,12.737403,12.75,327.60013,329.6,5.0808673,4.58,311.9174,310.3
2017,67.44073,67.4,15.641704,17.0,3.5221527,3.18,10.031328,10.22,13.8140955,12.62,335.45697,338.5,5.078159,4.32,321.84424,324.9
887,62.74739,64.1,17.825464,16.73,2.8877099,3.23,10.89791,11.04,13.112923,12.25,284.82666,287.9,5.897631,5.77,216.14798,217.5
1328,32.64031,32.8,32.96829,34.13,0.1698622,0.84,7.874971,8.39,9.080254,9.83,349.70343,350.8,3.1541693,3.06,288.8442,284.0
770,42.880867,38.6,28.084263,29.47,1.8252164,1.21,10.043515,9.42,11.142317,10.43,306.4008,306.9,4.3532634,3.47,223.42056,226.0
1045,71.61267,71.6,15.308536,13.32,3.4184928,3.83,11.818328,11.09,13.966274,12.61,290.838,289.5,6.3178773,5.82,230.13646,226.8
1326,51.06598,54.0,23.903507,24.21,1.7449946,2.06,10.97383,10.84,12.157846,12.87,306.78537,308.7,4.0246377,4.43,252.96913,253.1
1453,61.7926,60.7,18.731522,19.92,2.4424233,2.62,10.4244175,10.61,12.156477,12.73,310.34708,311.7,4.970066,4.28,267.80453,270.6
1472,64.52819,63.9,18.340492,19.72,2.6734326,2.77,11.693916,11.08,13.083257,13.39,306.80713,309.1,4.7983665,4.28,267.15085,270.1
1872,61.593697,61.2,20.26299,20.8,2.560442,2.49,11.432654,10.46,12.7882595,12.86,333.1392,334.6,3.943219,3.93,314.3025,315.6
895,62.964016,65.2,17.94222,16.58,2.9465983,3.32,11.05209,11.28,13.22271,12.47,284.87357,285.9,5.900931,5.99,215.37338,211.6
1646,57.378017,56.8,20.699915,20.98,2.0698538,2.33,9.688185,9.72,10.90303,11.96,328.223,331.1,4.2206287,3.83,299.7406,305.6
2121,29.20394,29.1,38.81102,39.0,0.62698895,0.64,6.8616242,7.29,11.049246,9.27,444.27957,444.0,2.3969436,1.63,417.9272,419.1
1702,52.37345,51.7,24.775066,26.6,1.6931958,1.76,11.208298,10.39,11.836034,12.88,333.22507,338.1,3.312204,3.13,302.3912,308.6
1030,71.96126,70.9,14.548001,13.48,3.4660618,3.79,11.34021,10.96,13.72425,12.49,289.0572,289.9,6.552597,5.93,227.49911,225.8
1444,51.82249,51.7,21.91625,20.74,1.6975316,2.14,8.4999075,9.08,10.012729,10.98,321.97238,324.3,4.3796496,4.19,281.49677,283.4
2031,35.00937,36.2,28.0009,25.0,1.5910678,1.2,3.6403933,6.58,9.300443,8.52,397.5437,396.1,3.8472962,3.08,379.1969,378.8
2060,54.208115,56.7,21.084663,22.0,2.6620274,2.24,9.0974455,9.88,12.8613405,12.25,346.4769,349.9,4.0499735,3.53,330.3947,336.3
2137,33.38651,32.8,37.169857,37.96,0.87861544,0.78,8.770432,8.17,12.1498,10.28,424.06567,425.5,2.21554,1.71,398.22958,400.3
752,42.41326,38.0,28.417046,29.93,1.9742457,1.18,9.613467,9.28,10.616506,10.28,310.45547,308.0,4.480418,3.49,225.34238,226.0
1485,40.924706,40.6,27.994879,26.99,0.8290749,1.33,7.9917655,8.43,9.0648775,10.19,342.6556,342.9,3.4180164,3.38,299.56082,297.9
585,41.994743,42.6,28.54761,26.87,1.8558621,1.54,10.069314,8.92,11.031409,10.51,306.52423,304.1,4.287208,3.53,222.43571,220.3
1140,35.87618,37.0,31.107033,31.35,0.48472995,1.08,8.852695,9.13,10.376733,10.55,328.162,327.5,3.5863676,3.54,256.835,254.9
866,58.34497,59.0,19.064543,16.98,2.4124696,2.86,9.844063,10.04,12.223986,11.51,288.85028,291.0,5.765233,5.5,218.9361,220.5
1487,44.759308,44.8,26.400112,26.48,1.1279356,1.53,8.7149,9.27,9.956578,11.14,333.84625,334.1,3.7029588,3.43,288.5701,289.8
1898,48.93481,49.5,25.910467,26.94,1.6964575,1.63,10.238755,9.96,11.780733,12.29,351.18973,353.2,3.0564942,3.03,329.68375,330.9
1084,61.763412,62.0,18.558346,18.54,2.6350143,2.91,11.189583,11.04,13.136295,12.52,288.0726,290.9,5.4721093,5.26,224.83751,226.9
1211,62.568424,62.9,16.67622,15.16,2.543763,3.09,9.247234,9.67,11.35452,11.46,301.54404,305.8,5.531278,5.68,255.32396,253.5
1643,54.430412,53.8,21.987751,21.23,1.8389822,2.18,9.125828,9.2,10.290568,11.38,334.3212,335.8,4.075779,3.84,305.31323,309.6
1410,65.102806,63.3,16.384037,15.09,2.696681,3.07,9.796274,9.72,11.595856,11.64,310.0581,314.2,5.2788043,5.02,274.34872,276.9
1688,48.43427,48.1,25.911175,26.27,1.3464204,1.62,9.739783,9.64,10.556066,11.91,342.9235,344.8,3.3081315,3.04,312.011,315.9
1956,60.716568,59.1,16.103294,14.0,3.3550262,2.96,6.2173195,7.98,11.747499,10.16,356.10675,357.4,5.5793867,5.19,343.7124,345.6
579,41.898506,42.6,28.432505,26.87,1.9741886,1.54,9.93663,8.92,10.820283,10.5,305.7592,304.2,4.325632,3.53,221.04994,220.3
1358,40.078365,41.7,30.406439,31.96,0.83366555,1.22,10.530125,10.16,11.475619,12.02,328.1132,331.6,3.1924777,3.47,267.09103,269.1
1859,62.513103,61.4,19.327686,20.82,2.6591809,2.51,11.075824,10.5,12.753549,12.92,332.0264,334.6,4.137479,3.84,313.94482,315.9
