,Maximum Pressure(predicted),Crank Angle at Maximum Pressure(predicted),Maximum Rate of Pressure Rise(predicted),BMEP(predicted),IMEP(predicted),BSFC(predicted),BSNOx(predicted),BSCO(predicted)
934,54.19701,21.586752,1.8863678,10.594982,11.812677,288.07806,5.5569243,213.5069
1682,43.04081,26.88891,1.7611809,8.034191,10.288658,354.9467,3.1263833,323.27182
953,40.587128,29.318407,0.861557,9.679058,11.202614,310.33173,4.201921,230.91626
893,64.02926,16.150572,2.9001694,10.662033,11.884117,284.95813,6.1103325,214.60483
1405,60.72911,15.4485035,3.3019524,9.434788,11.268299,317.10995,4.610567,279.6079
1892,48.661087,27.102922,1.7414513,9.002018,11.754562,356.30096,3.165413,333.93677
1524,30.557274,34.734146,0.84404755,8.124203,9.871391,382.6596,2.6416187,333.2681
726,47.175762,23.129541,2.2227554,9.839214,10.843388,293.72058,4.045082,216.56906
2074,34.494267,30.869478,1.0524521,6.712826,8.887123,396.75275,2.290389,375.14178
727,47.7225,23.153513,2.4203873,9.79768,10.961498,289.48193,4.304254,210.08398
1331,35.243843,32.733032,1.0417137,8.795284,11.019539,343.60098,3.6860394,278.45767
559,41.026184,27.367315,2.0912933,8.670147,10.721989,302.2065,4.146527,216.19449
2043,51.713764,22.699007,2.1928978,8.381535,10.974888,359.09613,3.3883257,344.73288
1018,66.93269,13.472483,3.5380516,9.195396,11.344246,291.11282,5.6642327,229.1144
2105,43.922874,29.100687,1.3130722,8.589001,11.112293,374.5753,2.3751025,357.8365
1858,60.716293,20.62142,2.607586,10.175564,12.890306,332.15472,4.1312613,312.7493
1517,52.98932,25.784998,2.2903557,10.644665,12.7974415,323.06818,3.2292094,280.79663
1685,46.297874,26.633192,1.8886528,8.653446,11.049095,350.3222,3.2754865,318.6014
1099,47.828705,24.582346,1.5802536,9.610287,11.014526,301.68655,4.2150683,234.09753
1344,40.016254,32.611847,1.1751938,9.563137,11.9748,335.57428,3.4894013,272.8426
1320,53.169743,25.386751,1.7721634,10.348934,12.757845,309.6242,3.9667096,253.5531
1994,52.62735,18.494791,2.5766525,7.6924095,9.710846,358.99722,3.913268,344.99188
919,52.55521,21.803759,1.8747787,10.297169,11.523933,287.84177,5.344684,213.27228
1704,51.838707,26.565542,2.0781975,10.045971,12.518829,342.82974,3.1217437,312.12234
1661,62.866714,20.179407,2.8953362,10.867641,13.311806,325.03882,4.1379995,297.24753
1746,39.900528,34.273964,1.237114,9.268513,11.556114,378.0153,2.0195122,342.3082
1056,53.430744,19.918108,1.9566727,9.371349,10.614025,301.17233,4.6641927,239.08807
1094,42.757397,25.849047,1.3103294,9.163731,10.136047,312.40915,4.059121,244.09311
549,39.10555,28.097635,1.8223495,8.615879,10.512238,308.96826,3.6164722,224.78198
1334,37.304573,32.616356,1.1536102,9.109089,11.396881,339.81052,3.6677508,274.90692
1471,63.685246,19.480906,3.0743027,11.300266,13.536137,306.10907,4.2303996,266.69717
1461,61.510235,18.985231,3.0626373,10.505177,12.676323,310.86783,4.165934,271.51395
927,52.389996,21.88709,1.7273407,10.475597,11.497543,293.2103,5.080971,220.52579
1098,45.03105,25.201918,1.2106056,9.190098,10.467712,308.82217,4.116107,243.07083
