,Learning_Rate,Dropout_Rate,Hidden_units,Batch_size,Validation_MAE,Validation_MSE
102,0.001,0.1,64,16,11597923.0,2679.65380859375
103,0.01,0.1,64,16,2337696.5,992.7976684570312
104,0.1,0.1,64,16,7440277.0,2130.72607421875
105,0.001,0.1,32,16,48742.96875,174.52735900878906
106,0.01,0.1,32,16,2320.583984375,28.76155662536621
107,0.1,0.1,32,16,4566868992.0,54849.140625
108,0.001,0.2,128,16,2608.182861328125,33.404415130615234
109,0.01,0.2,128,16,2069.853759765625,33.09697341918945
110,0.1,0.2,128,16,749.6974487304688,22.781829833984375
111,0.001,0.2,64,16,698.651123046875,15.939703941345215
112,0.01,0.2,64,16,12910.3642578125,75.1407470703125
113,0.1,0.2,64,16,263.4568176269531,10.470378875732422
114,0.001,0.2,32,16,605.5877075195312,15.624905586242676
115,0.01,0.2,32,16,583.2792358398438,13.920845985412598
116,0.1,0.2,32,16,1763.30517578125,21.698314666748047
117,0.001,0.2,128,16,752313.75,585.9778442382812
118,0.01,0.2,128,16,6423.4931640625,55.424591064453125
119,0.1,0.2,128,16,616212.5625,614.4618530273438
120,0.001,0.2,64,16,1278928.5,712.4537963867188
121,0.01,0.2,64,16,4383.38916015625,45.2807502746582
122,0.1,0.2,64,16,57295056.0,5879.0927734375
123,0.001,0.2,32,16,110081.40625,230.15170288085938
124,0.01,0.2,32,16,11332.6064453125,62.484100341796875
125,0.1,0.2,32,16,501878.46875,547.611572265625
126,0.001,0.2,128,16,466039296.0,15151.3916015625
127,0.01,0.2,128,16,23587812.0,3227.48876953125
128,0.1,0.2,128,16,4623315763200.0,1631239.25
129,0.001,0.2,64,16,5520473.5,1595.4510498046875
130,0.01,0.2,64,16,698636.875,566.556884765625
131,0.1,0.2,64,16,327554531328.0,509447.84375
132,0.001,0.2,32,16,3460869.5,1114.23681640625
133,0.01,0.2,32,16,1638856.625,896.7500610351562
134,0.1,0.2,32,16,12489234432.0,85056.109375
135,0.001,0.3,128,16,7272.6484375,63.92826461791992
136,0.01,0.3,128,16,650.9137573242188,17.792903900146484
137,0.1,0.3,128,16,382.63140869140625,16.86034393310547
138,0.001,0.3,64,16,8585.4150390625,61.4624137878418
139,0.01,0.3,64,16,3958.439208984375,42.90119934082031
140,0.1,0.3,64,16,1313.788330078125,22.47854995727539
141,0.001,0.3,32,16,2228.482177734375,26.826400756835938
142,0.01,0.3,32,16,19877.271484375,65.26052856445312
143,0.1,0.3,32,16,605.98974609375,17.940214157104492
144,0.001,0.3,128,16,241701.03125,323.1689453125
145,0.01,0.3,128,16,89725.6171875,201.9459686279297
146,0.1,0.3,128,16,2377081856.0,38130.35546875
147,0.001,0.3,64,16,861206.8125,628.0266723632812
148,0.01,0.3,64,16,333046.9375,369.0177917480469
149,0.1,0.3,64,16,537162240.0,17268.72265625
150,0.001,0.3,32,16,144711.375,272.1882629394531
151,0.01,0.3,32,16,118708.203125,219.05613708496094
152,0.1,0.3,32,16,5845.2548828125,63.020328521728516
153,0.001,0.3,128,16,187295920.0,9005.21875
154,0.01,0.3,128,16,9225.8115234375,73.65216827392578
155,0.1,0.3,128,16,1167678767104.0,779566.125
156,0.001,0.3,64,16,73642952.0,6046.587890625
157,0.01,0.3,64,16,36523584.0,3929.592529296875
158,0.1,0.3,64,16,361548546048.0,362386.09375
159,0.001,0.3,32,16,3048088.75,1186.08056640625
160,0.01,0.3,32,16,1471.3365478515625,21.94451904296875
161,0.1,0.3,32,16,58918895616.0,189567.78125
162,0.001,0.1,128,8,12416.3974609375,71.73729705810547
163,0.01,0.1,128,8,12767.2568359375,70.8408203125
164,0.1,0.1,128,8,1903.087158203125,30.44777488708496
