,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
1682,42.398144,43.6,25.767603,26.82,0.8814776,1.43,8.8273535,8.73,10.47999,10.86,354.35693,354.7,2.3636541,2.94,321.82977,325.2
953,39.405983,41.0,28.923536,29.56,1.517957,1.36,9.440952,9.89,10.570696,11.07,306.2397,310.1,3.768745,4.31,228.18974,231.6
893,64.61503,64.4,17.709509,16.69,2.848504,3.26,11.523828,11.09,12.826859,12.29,288.49316,287.8,5.4072227,5.77,220.56442,217.6
1405,59.806637,60.6,15.915549,15.32,1.7246553,2.93,10.207176,9.24,11.981576,11.18,315.39536,318.2,3.5796971,4.94,277.40826,279.9
1892,48.09508,48.6,26.473837,27.01,2.144777,1.59,8.914212,9.78,11.29331,12.1,357.5194,355.2,3.4719028,2.98,337.4027,333.0
1524,30.183847,30.9,33.119812,34.59,-0.09039837,0.77,8.37452,7.64,9.78295,9.34,378.58896,378.9,1.5145838,2.5,329.779,325.8
726,48.245285,48.3,23.464172,23.04,1.78773,1.92,10.021827,9.7,11.187991,10.86,292.6955,294.0,3.9315138,4.17,215.50049,218.6
2074,33.402336,34.9,31.286283,31.0,0.24605227,0.97,7.983437,7.7,9.703505,9.59,393.57544,397.5,1.2343944,2.35,372.57242,375.3
727,49.212418,49.1,23.434849,22.79,1.9143318,1.98,10.27075,9.95,11.283341,11.04,289.60013,291.0,4.1987267,4.44,209.60277,210.4
1331,34.68415,35.4,31.478703,33.06,0.77695537,0.94,8.999776,9.0,10.252334,10.49,342.9818,343.4,2.9567933,3.2,280.98892,278.5
559,40.167824,42.2,27.80578,27.16,1.2702137,1.48,9.476211,8.98,10.771569,10.57,301.08633,303.1,3.46656,3.43,213.86542,215.1
2043,50.253185,50.9,22.769089,23.0,1.750149,1.92,8.841564,9.04,11.16715,11.24,355.0754,358.1,2.9124393,3.5,342.3744,343.8
1018,67.26729,67.3,15.669519,13.28,2.5514476,3.55,11.588792,10.21,13.265667,11.86,294.9966,294.2,5.233506,5.9,231.78745,230.7
2105,44.529083,44.9,29.066027,29.0,1.9639688,1.4,8.656804,9.26,10.988879,11.53,372.53336,373.8,3.079002,2.6,354.5363,357.1
1858,61.997482,62.0,19.78325,20.81,3.0133722,2.55,10.011976,10.63,12.490814,13.08,334.93503,333.3,4.49612,3.85,314.8412,312.7
1517,51.91126,52.7,24.104979,25.75,2.5548067,1.88,9.764631,10.68,11.549318,12.95,319.8971,322.4,4.449265,3.56,277.47095,279.7
1685,45.082928,46.1,25.436367,26.51,1.3461233,1.53,9.032903,9.24,10.824722,11.44,348.5181,348.8,2.944188,3.0,316.37167,319.6
1099,48.587944,49.2,23.911224,24.22,1.8054576,1.89,10.083179,10.12,11.386852,11.65,300.8913,303.1,4.2519636,4.55,231.09482,234.9
1344,39.224136,40.4,31.756552,32.1,1.7086678,1.17,9.292975,9.85,10.908152,11.63,336.17664,333.8,3.9018111,3.5,273.60898,270.9
1320,51.309223,53.9,23.804258,24.21,2.506785,2.05,9.892722,10.83,11.50974,12.86,306.12415,308.5,4.6175823,4.46,253.11417,252.2
1994,52.156475,50.8,19.74145,19.0,1.0369632,2.19,9.088717,7.98,11.134418,10.06,360.32166,360.9,2.0985622,4.2,346.7875,347.7
919,53.104813,53.7,22.084064,22.09,2.3164275,2.28,10.456685,10.87,11.711967,12.05,287.25522,291.7,4.7118497,5.33,213.72467,215.5
1704,50.535995,50.8,25.160032,26.79,2.425847,1.72,9.340481,10.14,11.497639,12.6,337.92422,340.0,4.0185275,3.16,306.8555,311.6
1661,63.51427,62.6,18.521004,20.42,3.1414757,2.61,10.31691,10.71,12.598539,13.22,318.9089,323.2,4.9304605,3.89,291.51874,297.9
1746,39.100346,39.0,33.060993,33.79,1.7766451,1.01,8.695219,9.21,10.851827,11.64,370.66895,375.5,3.2568932,2.36,334.2542,341.0
1056,53.246777,53.8,20.05176,18.87,1.5741088,2.39,10.256726,9.36,11.749483,10.89,301.3594,301.7,3.9930477,5.12,237.87753,238.6
1094,44.266388,45.0,24.733397,24.74,1.0922273,1.66,9.724525,9.15,10.954985,10.71,312.04953,311.3,3.4697208,4.22,243.34691,245.3
549,38.508488,39.2,27.932682,27.62,0.9724953,1.31,9.060142,8.53,10.703636,9.86,307.84454,307.5,2.9448256,3.03,223.42722,221.4
1334,35.201603,37.1,31.444548,32.91,1.0569785,1.01,8.989812,9.37,10.300211,10.91,335.56137,339.2,3.2855701,3.29,273.16617,274.9
1471,64.08938,64.8,18.842783,19.62,3.1871824,2.83,10.759298,11.22,12.772314,13.58,309.36975,308.0,5.2306952,4.31,267.27563,267.4
1461,63.13991,61.4,18.625793,19.89,2.9528306,2.63,10.639988,10.72,12.6884165,12.87,311.65775,311.3,5.054443,4.32,271.59503,272.0
927,52.84108,52.9,22.328266,22.18,2.2698212,2.24,10.408618,10.66,11.662269,11.8,292.62006,293.7,4.592843,5.25,222.2023,221.1
1098,45.716118,46.4,24.570219,24.48,1.3951967,1.73,9.768585,9.54,11.124594,11.01,308.87036,307.7,3.770883,4.41,241.61201,241.5
2107,27.694857,19.4,44.564896,43.0,-1.2557982,0.35,9.37904,5.01,10.97279,6.67,511.55096,529.3,0.3504877,1.26,475.32156,491.2
1871,61.14986,61.9,19.910046,20.8,2.9557548,2.54,9.9874735,10.59,12.270845,13.02,335.04697,333.8,4.3889866,3.87,315.76144,314.9
1128,50.524113,49.9,23.756414,24.52,2.2568152,1.91,10.185252,10.51,11.454722,11.8,298.25977,301.2,4.603114,4.61,232.57933,236.2
1162,39.96266,40.1,30.745178,31.37,1.7453345,1.23,9.598475,9.95,10.88858,11.4,318.73764,320.4,4.11789,3.66,243.86697,247.9
1483,41.65689,42.0,25.098913,26.83,0.7047088,1.41,9.005802,8.66,10.371279,10.51,339.0721,340.7,2.4064636,3.31,293.71466,295.5
1925,33.20279,35.1,35.499985,35.45,0.8820468,0.86,8.206239,8.41,10.321377,10.58,401.46088,402.4,2.1669974,2.06,374.1515,374.1
1534,37.43255,39.2,32.78328,33.37,1.490206,1.08,8.971544,9.54,10.722932,11.62,353.77432,353.8,3.4582887,2.68,301.86792,302.1
1154,39.2983,39.3,30.784458,31.54,1.5939037,1.18,9.469152,9.82,10.926102,11.17,320.64456,321.7,3.9866366,3.65,245.83443,250.9
1558,41.240734,41.3,31.869741,33.13,1.9479156,1.15,9.277404,9.94,11.0295515,12.2,350.4871,350.3,3.8233757,2.78,299.64496,299.6
1658,63.944176,62.3,18.563051,20.48,3.130579,2.6,10.370225,10.64,12.703705,13.13,321.41675,323.7,4.944243,3.88,294.10687,298.4
1881,40.93258,42.4,27.543217,28.39,0.8921604,1.33,8.470374,8.55,10.471194,10.68,371.97705,369.1,2.1019716,2.89,348.80426,345.4
2004,61.20399,61.2,17.92159,17.0,2.336665,2.79,9.723264,9.33,12.222771,11.62,345.17123,346.6,3.6393332,4.36,334.24188,335.0
1134,34.833015,34.3,30.40694,31.87,0.40234348,0.97,8.805584,8.31,10.699614,9.84,336.78818,336.7,2.6427479,3.24,263.5855,262.5
1641,47.02262,48.4,21.096209,21.73,0.75481,1.9,8.883978,8.23,10.674974,10.31,343.70297,345.9,2.089429,3.83,315.31915,318.9
1363,41.41784,41.6,30.706839,32.55,1.9897755,1.22,9.445774,10.28,10.957031,12.1,329.7563,330.1,4.101523,3.51,268.12604,264.6
1465,64.40008,64.3,18.862045,19.65,3.1914597,2.8,10.812733,11.15,12.867854,13.47,309.74936,308.0,5.302374,4.33,266.99414,267.0
1993,52.429356,50.9,19.678856,19.0,1.0688698,2.19,9.178395,8.07,11.139751,10.13,358.5268,358.8,2.162698,4.22,343.37982,343.0
2019,67.14065,67.5,17.276716,17.0,3.1415167,3.17,10.254248,10.02,12.902781,12.5,341.1017,340.7,4.4508734,4.44,329.88147,329.3
1216,69.99417,69.9,14.625666,14.5,2.9323058,3.55,11.487679,10.78,13.404166,12.68,298.1159,297.9,5.3975334,5.67,247.58253,244.0
766,40.97805,39.0,28.454855,29.28,1.5175142,1.23,9.761861,9.54,10.752466,10.51,303.8828,305.1,3.8223457,3.63,219.32455,221.0
1512,51.37488,51.7,24.373442,25.85,2.5074904,1.83,9.678802,10.52,11.55502,12.72,321.26248,323.3,4.386383,3.59,278.7339,280.7
715,49.3756,48.7,23.243044,22.73,1.867015,1.95,10.234813,9.86,11.346897,10.97,290.19638,291.3,4.138577,4.47,210.12077,209.8
780,40.614502,38.4,28.751945,29.57,1.4807134,1.19,9.713894,9.32,10.68681,10.35,308.78336,307.5,3.7226925,3.47,227.22893,226.5
2087,40.69057,42.6,29.67499,29.0,1.5113275,1.3,8.221702,8.92,10.576708,11.1,377.1195,378.2,2.5737963,2.53,361.96124,360.8
572,40.281017,42.7,27.99347,26.72,1.3307884,1.53,9.556566,8.96,10.689698,10.57,302.8478,304.0,3.5116158,3.46,217.38141,220.0
